MS46122B
!2032304/20262023
!4/29/2022.4:35:12.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       	TRACE.1           
!PARAMETER:   	S11               
!PORT:        	PORT1             
!GRAPH:       	LOGMAG            
!SMOOTHING:   	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1
1	1.000000000	-1.231617E+000
2	1.020000000	-1.067711E+000
3	1.040000000	-8.409349E-001
4	1.060000000	-7.915740E-001
5	1.080000000	-1.120836E+000
6	1.100000000	-1.437570E+000
7	1.120000000	-1.293884E+000
8	1.140000000	-9.866461E-001
9	1.160000000	-8.129424E-001
10	1.180000000	-1.091614E+000
11	1.200000000	-1.704307E+000
12	1.220000000	-1.683851E+000
13	1.240000000	-1.238226E+000
14	1.260000000	-8.725906E-001
15	1.280000000	-9.991649E-001
16	1.300000000	-1.973591E+000
17	1.320000000	-2.294555E+000
18	1.340000000	-1.699518E+000
19	1.360000000	-1.062828E+000
20	1.380000000	-9.133219E-001
21	1.400000000	-2.276341E+000
22	1.420000000	-3.391179E+000
23	1.440000000	-2.556546E+000
24	1.460000000	-1.523249E+000
25	1.480000000	-8.951264E-001
26	1.500000000	-2.409095E+000
27	1.520000000	-5.735288E+000
28	1.540000000	-4.639215E+000
29	1.560000000	-2.757505E+000
30	1.580000000	-1.222908E+000
31	1.600000000	-2.062442E+000
32	1.620000000	-1.031916E+001
33	1.640000000	-1.151891E+001
34	1.660000000	-6.704361E+000
35	1.680000000	-2.776394E+000
36	1.700000000	-1.184840E+000
37	1.720000000	-5.745131E+000
38	1.740000000	-1.311664E+001
39	1.760000000	-1.478893E+001
40	1.780000000	-5.357726E+000
41	1.800000000	-1.089422E+000
42	1.820000000	-2.432752E+000
43	1.840000000	-5.627673E+000
44	1.860000000	-8.444551E+000
45	1.880000000	-5.449337E+000
46	1.900000000	-1.491666E+000
47	1.920000000	-1.370829E+000
48	1.940000000	-3.153060E+000
49	1.960000000	-4.935233E+000
50	1.980000000	-4.293474E+000
51	2.000000000	-1.814543E+000
52	2.020000000	-1.115098E+000
53	2.040000000	-2.057974E+000
54	2.060000000	-3.261982E+000
55	2.080000000	-3.265309E+000
56	2.100000000	-1.914358E+000
57	2.120000000	-1.158428E+000
58	2.140000000	-1.692509E+000
59	2.160000000	-2.729823E+000
60	2.180000000	-2.982065E+000
61	2.200000000	-2.082512E+000
62	2.220000000	-1.261767E+000
63	2.240000000	-1.515043E+000
64	2.260000000	-2.569134E+000
65	2.280000000	-3.134019E+000
66	2.300000000	-2.433505E+000
67	2.320000000	-1.438987E+000
68	2.340000000	-1.359449E+000
69	2.360000000	-2.548754E+000
70	2.380000000	-3.604323E+000
71	2.400000000	-3.000907E+000
72	2.420000000	-1.741099E+000
73	2.440000000	-1.245737E+000
74	2.460000000	-2.573200E+000
75	2.480000000	-4.473363E+000
76	2.500000000	-3.934614E+000
77	2.520000000	-2.267830E+000
78	2.540000000	-1.246728E+000
79	2.560000000	-2.555411E+000
80	2.580000000	-5.935704E+000
81	2.600000000	-5.667293E+000
82	2.620000000	-3.325212E+000
83	2.640000000	-1.512947E+000
84	2.660000000	-2.261083E+000
85	2.680000000	-8.326999E+000
86	2.700000000	-1.012819E+001
87	2.720000000	-5.913928E+000
88	2.740000000	-2.604118E+000
89	2.760000000	-1.684689E+000
90	2.780000000	-8.283237E+000
91	2.800000000	-2.746092E+001
92	2.820000000	-1.430152E+001
93	2.840000000	-6.518273E+000
94	2.860000000	-1.493249E+000
95	2.880000000	-3.459085E+000
96	2.900000000	-6.829588E+000
97	2.920000000	-1.166607E+001
98	2.940000000	-1.693213E+001
99	2.960000000	-2.601142E+000
100	2.980000000	-1.567392E+000
101	3.000000000	-2.840026E+000
102	3.020000000	-5.000324E+000
103	3.040000000	-7.748067E+000
104	3.060000000	-3.375763E+000
105	3.080000000	-1.298920E+000
106	3.100000000	-1.755420E+000
107	3.120000000	-2.857290E+000
108	3.140000000	-4.362621E+000
109	3.160000000	-3.462710E+000
110	3.180000000	-1.499972E+000
111	3.200000000	-1.409705E+000
112	3.220000000	-1.992779E+000
113	3.240000000	-2.919936E+000
114	3.260000000	-3.184757E+000
115	3.280000000	-1.831954E+000
116	3.300000000	-1.345715E+000
117	3.320000000	-1.561232E+000
118	3.340000000	-2.170666E+000
119	3.360000000	-2.801406E+000
120	3.380000000	-2.154397E+000
121	3.400000000	-1.428149E+000
122	3.420000000	-1.370769E+000
123	3.440000000	-1.762391E+000
124	3.460000000	-2.439788E+000
125	3.480000000	-2.361348E+000
126	3.500000000	-1.575833E+000
127	3.520000000	-1.302838E+000
128	3.540000000	-1.539781E+000
129	3.560000000	-2.137773E+000
130	3.580000000	-2.401275E+000
131	3.600000000	-1.761659E+000
132	3.620000000	-1.363805E+000
133	3.640000000	-1.448886E+000
134	3.660000000	-1.883303E+000
135	3.680000000	-2.310037E+000
136	3.700000000	-1.954460E+000
137	3.720000000	-1.489930E+000
138	3.740000000	-1.430472E+000
139	3.760000000	-1.723596E+000
140	3.780000000	-2.151416E+000
141	3.800000000	-2.100129E+000
142	3.820000000	-1.645588E+000
143	3.840000000	-1.455818E+000
144	3.860000000	-1.609102E+000
145	3.880000000	-2.023834E+000
146	3.900000000	-2.199391E+000
147	3.920000000	-1.802771E+000
148	3.940000000	-1.483859E+000
149	3.960000000	-1.529257E+000
150	3.980000000	-1.901536E+000
151	4.000000000	-2.217897E+000
152	4.020000000	-1.959656E+000
153	4.040000000	-1.578417E+000
154	4.060000000	-1.533145E+000
155	4.080000000	-1.777169E+000
156	4.100000000	-2.129161E+000
157	4.120000000	-2.071207E+000
158	4.140000000	-1.735940E+000
159	4.160000000	-1.589864E+000
160	4.180000000	-1.720069E+000
161	4.200000000	-1.995383E+000
162	4.220000000	-2.144830E+000
163	4.240000000	-1.881461E+000
164	4.260000000	-1.652259E+000
165	4.280000000	-1.686170E+000
166	4.300000000	-1.902074E+000
167	4.320000000	-2.103840E+000
168	4.340000000	-1.977706E+000
169	4.360000000	-1.731456E+000
170	4.380000000	-1.664868E+000
171	4.400000000	-1.851825E+000
172	4.420000000	-2.083229E+000
173	4.440000000	-2.079305E+000
174	4.460000000	-1.827293E+000
175	4.480000000	-1.692908E+000
176	4.500000000	-1.763031E+000
177	4.520000000	-2.014351E+000
178	4.540000000	-2.147851E+000
179	4.560000000	-1.971187E+000
180	4.580000000	-1.748580E+000
181	4.600000000	-1.738988E+000
182	4.620000000	-1.941121E+000
183	4.640000000	-2.154047E+000
184	4.660000000	-2.101388E+000
185	4.680000000	-1.864871E+000
186	4.700000000	-1.770434E+000
187	4.720000000	-1.868783E+000
188	4.740000000	-2.098480E+000
189	4.760000000	-2.153574E+000
190	4.780000000	-1.953819E+000
191	4.800000000	-1.793053E+000
192	4.820000000	-1.826074E+000
193	4.840000000	-2.057979E+000
194	4.860000000	-2.211856E+000
195	4.880000000	-2.091741E+000
196	4.900000000	-1.875372E+000
197	4.920000000	-1.833468E+000
198	4.940000000	-2.001297E+000
199	4.960000000	-2.239447E+000
200	4.980000000	-2.206425E+000
201	5.000000000	-1.963500E+000
